kanji,kana,romaji
授業,じゅぎょう,jugyou
宿題,しゅくだい,shukudai
上手,じょうず,jouzu
丈夫,じょうぶ,joubu
醤油,しょうゆ,shouyu
食堂,しょくどう,shokudou
知る,しる,shiru
白,しろ,shiro
白い,しろい,shiroi
～人,じん,jin
新聞,しんぶん,shinbun
水曜日,すいようび,suiyoubi
吸う,すう,suu
好き,すき,suki
少ない,すくない,sukunai
少し,すこし,sukoshi
涼しい,すずしい,suzushii
住む,すむ,sumu
座る,すわる,suwaru
背,せい,sei
生徒,せいと,seito
石鹸,せっけん,sekken
背広,せびろ,sebiro
狭い,せまい,semai
千,せん,sen
先月,せんげつ,sengetsu
先週,せんしゅう,senshuu
先生,せんせい,sensei
洗濯,せんたく,sentaku
全部,ぜんぶ,zenbu
掃除,そうじ(する),souji(suru)
外,そと,soto
空,そら,sora
～台,だい,dai
大学,だいがく,daigaku
大使館,たいしかん,taishikan
大丈夫,だいじょうぶ,daijoubu
大好き,だいすき,daisuki
大切,たいせつ,taisetsu
台所,だいどころ,daidokoro
大変,たいへん,taihen
高い,たかい,takai
沢山,たくさん,takusan
出す,だす,dasu
立つ,たつ,tatsu
建物,たてもの,tatemono
楽しい,たのしい,tanoshii
頼む,たのむ,tanomu
多分,たぶん,tabun
食べ物,たべもの,tabemono
食べる,たべる,taberu
卵,たまご,tamago
誰,だれ,dare
誰か,だれか,dareka
誕生日,たんじょうび,tanjoubi
段々,だんだん,dandan
小さい,ちいさい,chiisai
小さな,ちいさな,chiisana
近い,ちかい,chikai
違う,ちがう,chigau
近く,ちかく,chikaku
地下鉄,ちかてつ,chikatetsu
地図,ちず,chizu
父,ちち,chichi
茶色,ちゃいろ,chairo
茶碗,ちゃわん,chawan
～中,ちゅう,chuu
丁度,ちょうど,choudo
一日,ついたち,tsuitachi
使う,つかう,tsukau
疲れる,つかれる,tsukareru
次,つぎ,tsugi
着く,つく,tsuku
机,つくえ,tsukue
作る,つくる,tsukuru
勤める,つとめる,tsutomeru
冷たい,つめたい,tsumetai
強い,つよい,tsuyoi
手,て,te
出かける,でかける,dekakeru
手紙,てがみ,tegami
出口,でぐち,deguchi
出る,でる,deru
天気,てんき,tenki
電気,でんき,denki
電車,でんしゃ,densha
電話,でんわ,denwa
戸,と,to
～度,ど,do
動物,どうぶつ,doubutsu
十,(〜を)とお,(~wo)too
遠い,とおい,tooi
十日,とおか,tooka
～時,とき,toki
時々,ときどき,tokidoki
時計,とけい,tokei
所,ところ,tokoro
年,とし,toshi
図書館,としょかん,toshokan
隣,となり,tonari
飛ぶ,とぶ,tobu
止まる,とまる,tomaru
友達,ともだち,tomodachi
土曜日,どようび,doyoubi
鳥,とり,tori
鶏肉,とりにく,toriniku
取る,とる,toru
撮る,とる,toru
中,なか,naka
長い,ながい,nagai
鳴く,なく,naku
無くす,なくす,nakusu
夏,なつ,natsu
夏休み,なつやすみ,natsuyasumi
七つ,ななつ,nanatsu
何,なん;なに,nan;nani
七日,なのか,nanoka
名前,なまえ,namae
習う,ならう,narau
並ぶ,ならぶ,narabu
並べる,ならべる,naraberu
何～,なん,nan
二,に,ni
肉,にく,niku
西,にし,nishi
～日,にち,nichi
日曜日,にちようび,nichiyoubi
荷物,にもつ,nimotsu
庭,にわ,niwa
～人,にん,nin
脱ぐ,ぬぐ,nugu
温い,ぬるい,nurui
猫,ねこ,neko
寝る,ねる,neru
～年,ねん,nen
登る,のぼる,noboru
飲み物,のみもの,nomimono
飲む,のむ,nomu
乗る,のる,noru
歯,は,ha
～杯,はい,hai
灰皿,はいざら,haizara
入る,はいる,hairu
葉書,はがき,hagaki
箱,はこ,hako
橋,はし,hashi
箸,はし,hashi
始まる,はじまる,hajimaru
初め;始め,はじめ,hajime
初めて,はじめて,hajimete
走る,はしる,hashiru
二十歳,はたち,hatachi
働く,はたらく,hataraku
八,はち,hachi
二十日,はつか,hatsuka
花,はな,hana
鼻,はな,hana
話,はなし,hanashi
話す,はなす,hanasu
母,はは,haha
早い,はやい,hayai
速い,はやい,hayai
春,はる,haru
貼る,はる,haru
晴れ,はれ,hare
晴れる,はれる,hareru
