kanji,kana,romaji
天気予報,てんきよほう,tenkiyohou
彼女,かのじょ,kanojo
間,あいだ,aida
卒業,そつぎょう,sotsugyou
枝,えだ,eda
専門,せんもん,senmon
送る,おくる,okuru
騒ぐ,さわぐ,sawagu
尋ねる,たずねる,tazuneru
放送,ほうそう(する),housou(suru)
政治,せいじ,seiji
市民,しみん,shimin
負ける,まける,makeru
指輪,ゆびわ,yubiwa
田舎,いなか,inaka
見つける,みつける,mitsukeru
高校生,こうこうせい,koukousei
講義,こうぎ,kougi
昼休み,ひるやすみ,hiruyasumi
忘れ物,わすれもの,wasuremono
下りる,おりる,oriru
腕,うで,ude
訳,わけ,wake
承知,しょうち(する),shouchi(suru)
日記,にっき,nikki
高校,こうこう;こうとうがっこう,koukou;koutougakkou
似る,にる,niru
暖房,だんぼう,danbou
留守,るす,rusu
割合,わりあい,wariai
寺,てら,tera
慣れる,なれる,nareru
普通,ふつう,futsuu
手伝う,てつだう,tetsudau
息子,むすこ,musuko
お子さん,おこさん,okosan
会場,かいじょう,kaijou
笑う,わらう,warau
運ぶ,はこぶ,hakobu
文学,ぶんがく,bungaku
光,ひかり,hikari
お見舞い,おみまい,omimai
席,せき,seki
～様,さま,sama
ご存じ,ごぞんじ,gozonji
下る,さがる,sagaru
字,じ,ji
褒める,ほめる,homeru
空く,すく,suku
最も,もっとも,mottomo
合う,あう,au
～代,だい,dai
最後,さいご,saigo
値段,ねだん,nedan
退院,たいいん(する),taiin(suru)
展覧会,てんらんかい,tenrankai
久しぶり,ひさしぶり,hisashiburi
汽車,きしゃ,kisha
遅れる,おくれる,okureru
見つかる,みつかる,mitsukaru
召し上がる,めしあがる,meshiagaru
太る,ふとる,futoru
注射,ちゅうしゃ,chuusha
様,よう,you
最初,さいしょ,saisho
御～,ご,go
安心,あんしん,anshin
直る,なおる,naoru
集める,あつめる,atsumeru
直す,なおす,naosu
続く,つづく,tsuzuku
先輩,せんぱい,senpai
約束,やくそく,yakusoku
世話,せわ(する),sewa(suru)
近所,きんじょ,kinjo
将来,しょうらい,shourai
億,おく,oku
数学,すうがく,suugaku
文化,ぶんか,bunka
払う,はらう,harau
習慣,しゅうかん,shuukan
焼ける,やける,yakeru
君,きみ,kimi
冷える,ひえる,hieru
点く,つく,tsuku
この間,このあいだ,konoaida
格好,かっこう,kakkou
続ける,つづける,tsuzukeru
落す,おとす,otosu
明日,あす,asu
出発,しゅっぱつ(する),shuppatsu(suru)
拝見,はいけん(する),haiken(suru)
割れる,われる,wareru
背中,せなか,senaka
新聞社,しんぶんしゃ,shinbunsha
回る,まわる,mawaru
～君,くん,kun
眠い,ねむい,nemui
濡れる,ぬれる,nureru
倒れる,たおれる,taoreru
考える,かんがえる,kangaeru
向かう,むかう,mukau
自由,じゆう,jiyuu
仕方,しかた,shikata
首,くび,kubi
程,ほど,hodo
代わり,かわり,kawari
失敗,しっぱい,shippai
工業,こうぎょう,kougyou
移る,うつる,utsuru
研究室,けんきゅうしつ,kenkyuushitsu
工場,こうじょう,koujou
紹介,しょうかい,shoukai
舟,ふね,fune
動く,うごく,ugoku
虫,むし,mushi
優しい,やさしい,yasashii
植える,うえる,ueru
両方,りょうほう,ryouhou
汚れる,よごれる,yogoreru
水泳,すいえい,suiei
経験,けいけん(する),keiken(suru)
勝つ,かつ,katsu
砂,すな,suna
警察,けいさつ,keisatsu
取り替える,とりかえる,torikaeru
急ぐ,いそぐ,isogu
簡単,かんたん,kantan
参る,まいる,mairu
全然,ぜんぜん,zenzen
特別,とくべつ,tokubetsu
復習,ふくしゅう,fukushuu
間に合う,まにあう,maniau
役に立つ,やくにたつ,yakunitatsu
真中,まんなか,mannaka
戻る,もどる,modoru
研究,けんきゅう,kenkyuu
草,くさ,kusa
込む,こむ,komu
この頃,このごろ,konogoro
訪ねる,たずねる,tazuneru
下げる,さげる,sageru
花見,はなみ,hanami
途中,とちゅう,tochuu
入院,にゅういん(する),nyuuin(suru)
乗り換える,のりかえる,norikaeru
別れる,わかれる,wakareru
～町,ちょう,chou
安全,あんぜん,anzen
看護婦,かんごふ,kangofu
見物,けんぶつ,kenbutsu
相談,そうだん(する),soudan(suru)
眠る,ねむる,nemuru
上がる,あがる,agaru
翻訳,ほんやく,honyaku
食事,しょくじ(する),shokuji(suru)
お陰,おかげ,okage
娘,むすめ,musume
湯,ゆ,yu
競争,きょうそう,kyousou
会議,かいぎ,kaigi
湖,みずうみ,mizuumi
集まる,あつまる,atsumaru
生活,せいかつ(する),seikatsu(suru)
糸,いと,ito
関係,かんけい,kankei
～目,め,me
番組,ばんぐみ,bangumi
急,きゅう,kyuu
棚,たな,tana
木綿,もめん,momen
輸出,ゆしゅつ(する),yushutsu(suru)
嬉しい,うれしい,ureshii
神社,じんじゃ,jinja
大分,だいぶ,daibu
楽しみ,たのしみ,tanoshimi
趣味,しゅみ,shumi
電報,でんぽう,denpou
家内,かない,kanai
指,ゆび,yubi
社会,しゃかい,shakai
